Weight_Name,Value_or_Range,Used_In,Data_Source,Justification,Impact_on_Price
Kharif Season Multiplier,1.28,Training data demand generation,NABARD Micro-Irrigation Survey 2023 + MoA Crop Calendar,Kharif accounts for 46% of annual drip pipe demand in Maharashtra (sugarcane + cotton sowing),+28% demand vs annual average -> pushes AI price up
Rabi Season Multiplier,1.12,Training data demand generation,NABARD 2023 + Directorate of Economics & Statistics,Rabi onion/tomato cultivation drives second demand peak,+12% demand vs annual average
Summer Season Multiplier,0.80,Training data demand generation,Historical distributor sales data (Jain Irrigation market report),Off-season: heat prevents field installation; farmers wait for Kharif,−20% demand vs annual average -> AI prices conservatively
Year Growth Rate,+10% per year,Training data,PM-KUSUM scheme annual report 2023 + Ministry of Agriculture drip expansion targets,National drip irrigation area growing at 9-11% CAGR (2018-2023),Demand in 2026 = 1.20x vs 2024 baseline
Gujarat Adoption Index,1.42,Adoption factor + training,NCPAH 2023: Gujarat has 7.2 lakh ha under micro-irrigation (highest in India),Largest micro-irrigation state; developed dealer network and subsidy penetration drives premium pricing,+2.5% adoption premium on final price
Bihar Adoption Index,0.52,Adoption factor + training,NABARD Bihar State Focus Paper 2023: 0.5 lakh ha under drip,Lowest adoption — price must be kept competitive to penetrate market,−2.9% adoption discount on final price
Demand Sensitivity Coefficient,0.25,ml_api.py demand_factor,Calibrated against price elasticity of B2B agri-input markets,If demand doubles (2x average): price rises only 25%. B2B buyers switch supplier if price spikes. Keeps us competitive.,Controls how strongly ML demand shifts the price
Smoothing Weight (Base),0.55,ml_api.py ex-factory formula,Industry practice for B2B pricing stability (reference: McKinsey B2B Pricing 2022),55% weight on stable base price prevents daily fluctuations that erode distributor trust. 45% AI signal is sufficient for responsiveness.,Limits max price swing to ~±18% from base
Adoption Factor Sensitivity,0.06,ml_api.py adoption_factor,Calibrated: max Gujarat premium should not exceed 3% (above logistics) to stay price-competitive,Adoption affects demand volume not manufacturing cost — so impact is capped small vs logistics which has direct cost basis.,Max ±3% effect on final price
Competitor Factor — High Demand (0.55),0.55,ml_api.py competitor_factor,Jain Irrigation and Netafim dealer pricing benchmarks (Maharashtra market survey),When demand is strong -> capture more margin toward competitor ceiling. 0.55 of the price-gap is captured.,Adds up to +5% to price when demand is high
Competitor Factor — Low Demand (0.20),0.20,ml_api.py competitor_factor,Same as above,When demand is weak -> undercut by 20% of the price gap to stimulate sales.,Reduces price by up to −3% when demand is below average
Logistics Tier 4 (Assam),1.122,ml_api.py STATE_LOGISTICS,NIC Logistics Ease Across Different States (LEADS) Report 2023,Assam is 2600km by road. LTL freight from Pune at ₹28/km/MT = ₹12.3% transport surcharge.,+12.2% surcharge on ex-factory price
